ID,Tópico,Categoria,Titulo,Texto,Imagem_1,Legenda_1,Imagem_2,Legenda_2,Imagem_3,Legenda_3,Imagem_4,Legenda_4,Imagem_5,Legenda_5
,2.4,Desenvolvimento,ACIPI ,"Em 9 de julho de 1933, representantes do comércio e da indústria piracicabanos se reuniram no Teatro Santo Estevam para fundar a Associação Comercial de Piracicaba, como resposta às crises decorrentes da quebra da Bolsa de Nova Iorque, em 1929, e da revolução de 1932. A entidade reunia então cerca de 230 sócios",35_1ª Diretoria da ACIPI em 1933 - Acervo Acipi.jpg,"Membros da primeira Diretoria da ACIPI, 1933. Acervo ACIPI.",,,,,,,,
,3,Desenvolvimento,MODERNA INDÚSTRIA SUCROALCOOLEIRA,"Depois dos anos de depressão da década de 1930, a indústria açucareira de São Paulo teve um impulso considerável, graças às transferências de capitais e de empresários para o setor e de estímulos governamentais. Em meados do século XX, com a expansão dos canaviais paulistas, Piracicaba se tornou o mais importante polo da moderna agroindústria sucroalcooleira do estado, impulsionando toda a cadeia produtiva, da lavoura à indústria.",36_Canavial IHGP.jpg,"Carregamento manual dos feixes de cana no trem de carga, c. 1940. Acervo Instituto Histórico e Geográfico de Piracicaba.",,,,,,,,
,3.1,Desenvolvimento,Usina Costa Pinto,"A tradicional Usina Costa Pinto foi adquirida em 1936 pelos irmãos Pedro Ometto e João Ometto, e o sócio Mário Dedini. Tinha início então a história da Cosan, que se transformaria em um dos mais importantes grupos empresariais do país, atuando nos segmentos de energia e logística.",37_Usina Costa Pinto. Acervo da Cosan.jpg,"Usina Costa Pinto, fundada em 1936, 1987. Acervo Divulgação Raízen.",,,,,,,,
,3.2,Desenvolvimento,Codistil,"Em 1943, valendo-se no know-how da Metalúrgica Dedini na produção de máquinas para usinas sucroalcooleiras de todo o país, Mario Dedini fundou a Construtora de Destilarias Dedini (Codistil).",38_Codistil - Acervo da Dedini.jpg,"Antiga sede da Codistil, na Vila Rezende, década de 1940. Acervo Dedini.",,,,,,,,
,3.3,Desenvolvimento,Mausa,"Os empreendedores João Bottene e Romeu de Souza Carvalho fundaram, em 1948, a Metalúrgica de Acessórios para Usinas S.A. (Mausa), voltada a prestar serviços para as grandes usinas de açúcar. Em 1976, a empresa foi transferida  para o Distrito Industrial Unileste.",39_Mausa 1948 - Acervo da Mausa.jpg,"Instalações da Mausa, 1948. Acervo Mausa.",,,,,,,,
,3.4,Desenvolvimento,A tradição da cachaça piracicabana,"Para além do açúcar e do álcool, a cana-de açúcar rendeu mais um produto de destaque à Piracicaba, a cachaça. De bebida popular, em meados do século XX a cachaça piracicabana conquistou o paladar de todos os segmentos sociais, ganhando reconhecimento como ícone da brasilidade.",39a_Tatuzinho a maior.jpg,"Fábrica de Bebidas Tatuzinho S.A. Acervo Família D’ Abronzo. Fonte: Tatuzinho S.A.: história ligada ao desenvolvimento da cidade | MEMORIAL DO EMPREENDEDORISMO (wordpress.com)",,,,,,,,
,3.4.1,Desenvolvimento,Cavalinho,"A história da cachaça Cavalinho teve início com a chegada ao Brasil, em 1887, do imigrante italiano Caetano Carmignani. Em 1904 ele criou em Piracicaba a Cerveja Cavalinho, seguida dos refrigerantes da mesma marca e, a partir de 1910, da Caninha Cavalinho. A industrialização da marca ocorreu em 1934, após o falecimento de Caetano.",40 - Cavalinho - Foto JP.jpg,"Rótulo da cachaça “Cavalinho”, fundada em 1904, s.d. Acervo Jornal de Piracicaba.",,,,,,,,
,3.4.2,Desenvolvimento,Tatuzinho,"“Ai tatu, Tatuzinho, me abre a garrafa e me dá um pouquinho”? A cachaça que se tornou um fenômeno no mundo do marketing graças a um dos jingles e rádio e TV mais lembrados do país também é resultado do empreendedorismo piracicabano.
A Tatuzinho era fabricada pela D’Abronzo S.A., fundada em 1909 pelo imigrante italiano Paschoal D’Abronzo. No início, produzia apenas xaropes, licores, refrigerantes e vinhos, mas em 1948 a empresa especializou-se em aguardente de cana. Em 1995 a produção foi encerrada.",41_Tatuzinho. Imagem da internet.jpg,"Rótulo da cachaça Tatuzinho, fundada em 1909, por Paschoal D´Abronzo, s.d. Acervo Família D’Ambronzo.",,,,,,,,
,4,Desenvolvimento,ENTRE AS MAIS IMPORTANTES DO PAÍS,"O pioneirismo de Piracicaba nos setores metalúrgico, agroindustrial, têxtil, alimentício e de abastecimento, aliado ao ensino especializado representado pela ESALQ, fez da cidade dos mais relevantes polos industriais do país entre as décadas de 1940 e 1960.
As feições da cidade foram mudando, com grandes intervenções urbanas que visaram alargar e asfaltar ruas e avenidas e dotar Piracicaba de novos equipamentos e serviços.",42_vista aerea piracicaba déc. 60.jpg,"Vista aérea de Piracicaba em meados da década de 1960,  marcando o início do processo de verticalização da cidade. Fonte: A Província.",,,,,,,,
,4.1,Desenvolvimento,Avenida Armando de Salles Oliveira ,"A Avenida Armando de Salles Oliveira foi construída em 1958 sobre o córrego Itapeva, tornando-se uma das principais artérias da cidade. Na década de 1960, a avenida também era palco de corridas de automóvel que atraíam grande número de espectadores. ",43_Corrida de carros na Av. Armando Salles -.jpg,"Corrida automobilística na Avenida Armando de Salles Oliveira, década 1960. Acervo Maks Weiser.",,,,,,,,
,4.2,Desenvolvimento,Praça Central,"Ao longo do tempo, a  praça central de Piracicaba também passou por várias transformações urbanas, que se refletem na mudança de nome: Largo da Matriz, praça Sete de Setembro e, por fim, praça José Bonifácio. ",44_Praça Central na década de 40. Foto IHGP.jpg,"Praça José Bonifácio, Matriz de Santo Antônio. Ao fundo, sede da Companhia Paulista de Força e Luz - CPFL, c. 1945. Acervo Instituto Histórico e Geográfico de Piracicaba.",,,,,,,,
,4.3,Desenvolvimento,Barão,"O Estádio Barão de Serra Negra, ou simplesmente “Barão”, foi construído pela prefeitura de Piracicaba e inaugurado em 1965, no local onde estava a Praça Barão da Serra Negra (daí o nome), área situada na parte alta da cidade.",45_Estádio Municipal - IPPLAP.JPG,"Estádio Barão de Serra Negra, 1965. Acervo Centro de Comunicação Social.",,,,,,,,
,4.4,Desenvolvimento,Supermercado Brasil,"Em 1934 o empreendedor Lélio Ferrari e irmãos abriram em Piracicaba uma torrefação de café e, em 1957, um empório. O negócio dos Ferrari, porém, tomou impulso em 1962, com a criação da rede Supermercado Brasil, no qual levaram à cidade o então chamado “pegue e pague”, sistema de autosserviço que se disseminava na capital paulistas e em outras grandes cidades do país.",46_Supermercado Brasil - Revista da Acipi.jpg,"Sócios do Supermercado Brasil na capa da Revista PV – revista de promoção de vendas e merchandising do comércio varejista, 1974. Acervo ACIPI.",,,,,,,,
,,,,,,,,,,,,,,
,1,Modernização,DINAMISMO INDUSTRIAL,"A partir do anos 1970, Piracicaba entrou em mais um grande ciclo de desenvolvimento. A criação do Proálcool, em 1975, modernizou cultivo da cana-de-açúcar e promoveu o início do incremento do parque industrial, que seria alavancado nas décadas seguintes pela implantação de diversos distritos industriais e polos de tecnologia. 
Graças a esses investimentos, a cidade passou a deter uma grande diversidade de empresas, com destaque para o segmento metal mecânico, a fabricação de máquinas para o setor alimentício e produtos relacionados ao cultivo de cana-de-açúcar, de café e agricultura familiar.",50_UNILESTE - ACIPI.JPG,Vista aérea do Distrito Industrial Unileste em 2012. Foto: Christiano Diehl. Acervo ACIPI,,,,,,,,
,1.1,Modernização,Unileste,"Para atrair e acomodar novas indústrias em Piracicaba, foi implantado o Distrito Industrial Unileste em uma localização excelente, com facilidade de acesso às principais rodovias da região. O distrito começou a ser planejado em 1973 e, quando de sua inauguração, contava com cerca de 45 empresas em construção e algumas já em pleno exercício. 
Atualmente, tem 117 empresas gerando cerca de 15 mil empregos diretos.",49_ Unileste_1976.jpg,Artigo sobre o Distrito Industrial Unileste publicado no Jornal de Piracicaba em 22/09/1976. Acervo Jornal de Piracicaba.,,,,,,,,
,1.1.1,Modernização,Caterpillar,"Em 1976, antes mesmo da inauguração do Unileste, entrou em operação a fábrica da Caterpillar, empresa multinacional de origem estadunidense que fabrica máquinas, motores e veículos pesados, voltados principalmente para a construção civil e mineração. Foi a principal indústria de capital estrangeiro de novos segmentos a se instalar no município.",48_Caterpillar.jpg,"Área de construção da Caterpillar em Piracicaba, 1974. Acervo do Instituto Histórico e Pedagógico de Piracicaba (IHGP). Fonte A Caterpillar no Brasil (parte II) | MEMORIAL DO EMPREENDEDORISMO (wordpress.com)",51_Planta Caterpillar.jpg,"Vista aérea da planta da Caterpillar, instalada em uma área de cerca de 4 milhões de metros quadrados. 2012. Foto: Christiano Diehl. Acervo ACIPI.",,,,,,
,1.2,Modernização,Uninorte,"Em meados dos anos 1990 começou a ser planejada a construção de um novo Distrito Industrial, a partir de um modelo pioneiro de Parceria Público Privada (PPP). Em 1998 foi criado o Uninorte, voltado a receber empresas de pequeno e médio portes. Hoje, são 72 empresas associadas em quase um milhão de metros quadrados estrategicamente localizados junto ao Anel Viário.",53_UNINORTE.JPG,"Vista aérea do Distrito Industrial Uninorte em 2012. Foto Christiano Diehl, Acervo Acipi. Em 2006 o complexo foi denominado Distrito Industrial Norte Comendador Mário Dedini.",,,,,,,,
,1.3,Modernização,Uninoroeste,"Em 2005 foi criado outro importante polo industrial de Piracicaba, o Distrito Industrial Uninoroeste, com cinco milhões de metros quadrados, voltado especialmente a empresas de grande porte. ",54_Noroeste.JPG,Vista aérea do Distrito Industrial Noroeste. Foto Christiano Diehl. Acervo ACIPI.,,,,,,,,
,1.4,Modernização,Parque Automotivo,"Desde 2012, Piracicaba conta com um Parque Automotivo, localizado no bairro Santa Rosa, próximo ao Distrito Industrial Uninorte. Liderado pela Hyundai, multinacional sul-coreana, o Parque conta com uma rede de empresas satélite que compõem sua cadeia produtiva.
Piracicaba foi escolhida por oferecer mão de obra de qualidade, boa infraestrutura e um parque de fornecedores locais já instalados e de elevada competência técnica.",55_ Hyundai.JPG,"Vista aérea da fábrica da Hyundai, no Parque Automotivo, em 2012. A unidade está instalada em uma área de 1.390.00m² e tem capacidade para produzir 180 mil carros por ano. Foto: Christiano Diehl. Acervo ACIPI.",,,,,,,,
,1.5,Modernização,Parque Tecnológico,"Inaugurado em 2012, o Parque Tecnológico Piracicaba (PTP) Engenheiro Agrônomo Emílio Bruno Germek posicionou a cidade e região como polo de inovações tecnológicas do agronegócio, em especial do setor sucroenergético. Inserido no Sistema Paulista de Parques Tecnológicos, o PTP ocupa uma área de 2,2 milhões de metros, com  24 boxes para instalações de empresas, auditório com capacidade para 200 pessoas, salas de reunião, treinamento, biblioteca e laboratórios. O PTP abriga empreendimentos como o Centro Administrativo e o hub de inovação da Raízen e a Esalqtec – incubadora tecnológica da Esalq/USP –, além de instituições de ensino, entre elas a Fatec Piracicaba. ",56_Parque tecnologico.JPG,"Vista aérea do Parque Tecnológico, 2012. Graças a iniciativas como o PTP, Piracicaba é considerada o Vale do Silício do agronegócio brasileiro, uma vez que concentra mais de 70 agtechs, aceleradoras, hubs de inovação, incubadoras, empresas e importantes centros de ensino e pesquisa no setor. Foto: Christiano Diehl. Acervo Acipi.",,,,,,,,
,2,Modernização,COMÉRCIO E EVOLUÇÃO URBANA,"A pujança da economia de Piracicaba a partir dos anos 1970, sobretudo desde a instalação dos Distritos Industriais, atraiu grandes contingentes de trabalhadores de várias regiões do país. Assim, as redes comercial e de serviços também foram ampliadas, com a chegada de importantes empresas de varejo e a implantação e a modernização de centros de compras.
Num verdadeiro círculo virtuoso de desenvolvimento, Piracicaba atingiu o status de região metropolitana. Em 2012 foi delimitada a Aglomeração Urbana de Piracicaba, listada pelo IBGE em 2014 entre as 25ª maiores regiões administrativas do país em número de habitantes. ",57_revista-acipi.jpg,"Revista da ACIPI, 1979. Acervo: ACIPI.",58_SCPC - ACIPI.jpg,"Serviço Central de Proteção ao Crédito, serviço gerenciado pela ACIPI desde 1959. A Acipi foi fundamental no processo de crescimento do comércio piracicabano, oferecendo aos seus associados ferramentas importantes como o Serviço Central de Proteção ao Crédito (SCPC), implantado ainda em 1959 e que hoje dispõe do maior banco de dados do Brasil.",,,,,,
,2.1,Modernização,Shopping Piracicaba,"Em 1987, a cidade ganhou um grande shopping center, o Shopping Piracicaba, empreendimento de uma das principais líderes do segmento, que nasceu da união da Aliansce Sonae e a brMalls.
O Shopping Center Piracicaba deu forte incentivo ao comércio regional, atraindo investidores e empreendedores.",59_ Shopping Center.JPG,Vista aérea do Shopping Piracicaba em 2012. Foto Christiano Diehl. Acervo Acipi.,,,,,,,,
,2.2,Modernização,Comércio de rua,"Piracicaba mantém seu comércio de rua como um dos mais importantes polos do varejo na cidade. Ao longo do tempo, os tradicionais endereços comerciais foram se reinventando para atender às necessidades dos consumidores. A rua Governador Pedro de Toledo (antiga rua do Comércio), por exemplo, foi alvo de um projeto de revitalização viabilizado pela parceria entre a Acipi e a prefeitura, voltado a tornar o local mais atraente e seguro. 
A Associação envolveu-se, ainda, em outros projetos, como o Cidade Limpa, que visa diminuir a poluição visual e sonora do centro comercial e valorizar da arquitetura histórica da cidade.
",60_Comercio.jpg,"Rua Governador Pedro de Toledo, antiga rua do Comércio, 2012. Acervo ACIPI.",,,,,,,,
,3,Modernização,CIDADE VIBRANTE,"Ao longo das últimas décadas, Piracicaba se tornou uma das mais modernas cidades do interior paulista, embora cultive suas tradições, tendo o rio como matriz cultural, com grandes eventos regionais – religiosos, esportivos, artísticos e turísticos – realizados em torno dele. 
Graças a isso, desde os anos 1970 a cidade liderou um processo de recuperação do rio, fortemente impactado pela poluição e outros fatores. A luta mudou a história da legislação e do sistema de recursos hídricos no país, a ponto de Piracicaba alcançar o 8º lugar em saneamento entre os grandes municípios brasileiros, de acordo o ranking de 2018 do Instituto Trata Brasil.",60a_Vista aerea 2012.jpg,"Vista aérea de Piracicaba, 2012. Foto Christiano Diehl. Acervo ACIPI",47_Pescadores.jpg,Piracicaba entre as décadas de 1960 e 1970. Fonte: Acervo dos Municípios Brasileiros – IBGE.,,,,,,
,3.1,Modernização,Tradição gastronômica,"O rio e a fartura de seus peixes sempre atraíram para Piracicaba turistas de várias regiões do estado. O mais famoso e tradicional ponto de atração é a Rua do Porto, considerada um dos melhores lugares para se comer peixe no interior de São Paulo. A Rua integra um complexo com vários pontos turísticos, e se destaca por reunir bares e restaurantes do calçadão localizado às margens do rio, onde é possível comer iguarias típicas da região, principalmente os famosos peixes na brasa e, claro, as famosas pamonhas de Piracicaba.",47a_Mirante.jpg,"Parque do Mirante, Salto do Rio Piracicaba, s/d. Acervo dos Municípios Brasileiros – IBGE. No local, existiu um restaurante muito visitado por moradores e turistas de outras cidades do estado.",61_Rua_do_Porto_Piracicaba.jpg,Rua do Porto em 2013. Foto Edson Aoki. Fonte: Wikmedia Commons.,,,,,,
,3.2,Modernização,Educação e cultura,"Piracicaba dispõe de vários equipamentos e programas culturais, além de uma vasta rede de ensino, em todos os níveis.
Os primeiros cursos superiores em Piracicaba foram implantados ainda em 1964, no antigo e consagrado Colégio Piracicabano (1881). Em 1976, a Universidade Metodista de Piracicaba (Unimep), a primeira universidade metodista da América Latina, construiu na cidade o campus Taquaral e, posteriormente, também inaugurou os campi de Santa Barbara D’Oeste e Lins.",52_UNIMEP.jpg,"Artigo sobre a implantação da Universidade Metodista de Piracicaba, publicado no Jornal de Piracicaba, 13/03/1976. Acervo Jornal de Piracicaba.",,,,,,,,
,3.2.1,Modernização,Salão Internacional de Humor de Piracicaba,"O Salão Internacional de Humor de Piracicaba é um festival de humor gráfico realizado anualmente desde 1974. É considerado um dos mais importantes do mundo no universo das artes gráficas, tendo se transformado em um espaço de reflexão, discussão e inovação sobre a arte e o humor.",62_Salao_humor.jpg,"Cartaz do primeiro Salão de Humor de Piracicaba. Há quase 50 anos, o Salão vem tornando Piracicaba uma espécie de “Capital Mundial” do humor gráfico, revelando novos talentos e valorizando autores e obras históricas. Fonte: salaointernacionaldehumor.com.br",,,,,,,,
